"id","href","src","alt","marca","precio","direccion"
"9","https://amzn.to/4eQMubL","https://m.media-amazon.com/images/I/711msX3ifwL._AC_UL165_SR165,165_.jpg","Bruno Marc Botas de Combate Militar para Hombres Botines de Moto Tactical para Hombre","Bruno Marc","49.99","izquierda"
"10","https://amzn.to/3Y9Jqls","https://m.media-amazon.com/images/I/61GxK6SdScL._AC_UL165_SR165,165_.jpg","Bruno Marc Botas de Nieve Hombre Antideslizante Invierno Botines Calientes Trekking Aire Libre Zapatos Repelente al Agua","Bruno Marc","49.99","izquierda"
"11","https://amzn.to/3ZStO7w","https://m.media-amazon.com/images/I/71nbffum4RL._AC_UL165_SR165,165_.jpg","Bruno Marc Botas de Nieve Hombre Antideslizante Invierno Botines Calientes Trekking Aire Libre Zapatos Repelente al Agua","Bruno Marc","49.99","izquierda"
"12","https://amzn.to/3ZPTAce","https://m.media-amazon.com/images/I/71NYSHGB07L._AC_UL165_SR165,165_.jpg","Botas de Hombre Mujer Cálido Piel Botines de Nieve Antideslizante Invierno Impermeables Trekking Aire Libre Zapatos","Eagsouni","49.99","izquierda"
"13","https://amzn.to/4eTNVq9","https://m.media-amazon.com/images/I/81+TVkWFJML._AC_UL165_SR165,165_.jpg","Mishansha Botas para Invierno - Calentitas Cómodas Antideslizantes, Unisex-adulto","Mishansha","29.99","izquierda"
"14","https://amzn.to/47VPVM5","https://m.media-amazon.com/images/I/71lywsYaVQL._AC_UL165_SR165,165_.jpg","Gaatpot Hombre Botas de Nieve Cálidas y Cómodas Zapatos de Invierno Fur Forro Aire Libre Zapatillas de Deporte Botas de Nieve Senderismo","Gaatpot","35.99","izquierda"
"15","https://amzn.to/3BxM0ZX","https://m.media-amazon.com/images/I/81djPx3glAL._AC_UL165_SR165,165_.jpg","Mishansha Zapatos de Invierno Hombre Botas de Nieve Mujer 36-48","Mishansha","49.99","izquierda"
"16","https://amzn.to/3YaJbXp","https://images-eu.ssl-images-amazon.com/images/I/51-Jw1t+TOL._AC_UL165_SR165,165_.jpg","ZHNSHM Botas de nieve para hombres botas de invierno antideslizantes con forro de piel botas de invierno con forro cálido zapatos de senderismo al aire libre","ZHNSHM","42.99","izquierda"
"17","SD","SD","SD","Rebook","45.00","izquierda15"
